"MSSubClass","MSZoning","LotArea","LotShape","LandContour","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageCars","GarageArea","GarageQual","PavedDrive","MoSold","YrSold","SalePrice"
160,"RL",2448,"Reg","Lvl","NridgHt","Norm","Norm","Twnhs","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","Wd Shng","Stone",3,"TA","PConc",3,"TA","GLQ","Unf",191,764,"GasA","Ex","Y","SBrkr",764,862,0,1626,1,0,2,1,2,1,3,6,"Typ",0,"BuiltIn",2,474,"TA","Y",10,2008,154000
60,"RL",20431,"IR2","Lvl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","CemntBd","CmentBd","BrkFace",1,"TA","PConc",1,"TA","GLQ","Unf",438,1848,"GasA","Ex","Y","SBrkr",1848,880,0,2728,1,0,2,1,4,1,1,10,"Typ",2,"Attchd",3,706,"TA","Y",4,2006,437154
120,"RL",7820,"IR1","Lvl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2007,2007,"Hip","CompShg","MetalSd","MetalSd","BrkFace",1,"TA","PConc",1,"TA","Unf","Unf",1869,1869,"GasA","Ex","Y","SBrkr",1869,0,0,1869,0,0,2,0,2,1,1,6,"Typ",1,"Attchd",2,617,"TA","Y",12,2007,318061
120,"RL",5271,"IR1","Low","ClearCr","Norm","Norm","1Fam","1Story",7,5,1986,1986,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","PConc",3,"TA","GLQ","Unf",371,1453,"GasA","Gd","Y","SBrkr",1453,0,0,1453,1,0,1,1,2,1,3,6,"Typ",1,"Attchd",2,445,"TA","Y",12,2006,190000
50,"RL",9084,"Reg","Lvl","Edwards","Artery","Norm","1Fam","1.5Fin",5,6,1941,1950,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","CBlock",4,"Fa","LwQ","Rec",0,616,"GasA","TA","N","SBrkr",616,495,0,1111,0,1,1,0,3,1,4,5,"Typ",0,"Detchd",1,200,"TA","Y",3,2008,95000
30,"RM",8520,"Reg","Lvl","OldTown","Norm","Norm","1Fam","1Story",6,8,1928,2003,"Gable","CompShg","VinylSd","VinylSd","None",4,"Gd","BrkTil",4,"TA","Unf","Unf",624,624,"GasA","Gd","Y","SBrkr",720,0,0,720,0,0,1,0,2,1,4,5,"Typ",0,"Detchd",2,484,"TA","Y",5,2010,105900
50,"RL",8400,"Reg","Bnk","SWISU","Norm","Norm","1Fam","1.5Fin",6,5,1940,2000,"Gable","CompShg","Wd Sdng","MetalSd","None",4,"TA","CBlock",4,"TA","LwQ","Unf",552,940,"GasA","Ex","Y","SBrkr",1192,403,0,1595,0,0,1,0,2,1,4,6,"Typ",2,"Attchd",1,240,"TA","Y",6,2006,140000
20,"RL",11249,"IR2","Lvl","CollgCr","Norm","Norm","1Fam","1Story",6,5,1995,1995,"Gable","CompShg","VinylSd","VinylSd","None",3,"Gd","PConc",3,"Gd","ALQ","BLQ",322,1200,"GasA","Ex","Y","SBrkr",1200,0,0,1200,1,0,2,0,3,1,3,6,"Typ",0,"Attchd",2,521,"TA","Y",8,2007,177500
20,"RL",9248,"IR1","Lvl","Gilbert","Norm","Norm","1Fam","1Story",6,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","BrkFace",4,"TA","PConc",3,"TA","GLQ","Unf",598,1158,"GasA","Gd","Y","SBrkr",1167,0,0,1167,1,0,2,0,3,1,3,6,"Typ",0,"Attchd",2,400,"TA","Y",7,2009,173000
120,"RM",4224,"Reg","Lvl","MeadowV","Norm","Norm","TwnhsE","1Story",5,5,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",4,"TA","PConc",3,"TA","ALQ","Unf",268,1142,"GasA","TA","Y","SBrkr",1142,0,0,1142,1,0,1,1,3,1,4,6,"Typ",1,"Attchd",2,528,"TA","Y",8,2007,134000
80,"RL",6930,"IR1","Lvl","ClearCr","Norm","Norm","1Fam","SLvl",5,4,1958,1958,"Hip","CompShg","Wd Sdng","ImStucc","BrkFace",4,"TA","CBlock",4,"TA","BLQ","Rec",468,1062,"GasA","Ex","Y","FuseF",1352,0,0,1352,0,1,1,0,3,1,3,6,"Min2",0,"BuiltIn",1,288,"TA","Y",7,2006,130000
60,"RL",12011,"IR1","Lvl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","GLQ","Unf",130,1086,"GasA","Ex","Y","SBrkr",1086,838,0,1924,1,0,2,1,3,1,3,7,"Typ",1,"Attchd",2,592,"TA","Y",6,2006,280000
85,"RL",7540,"IR1","Lvl","Mitchel","Norm","Norm","1Fam","SFoyer",6,6,1978,1978,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","CBlock",3,"TA","GLQ","Unf",115,888,"GasA","Ex","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,4,5,"Typ",1,"Attchd",2,470,"TA","Y",6,2007,156000
50,"RL",9144,"Reg","Lvl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1940,1982,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","CBlock",4,"TA","Rec","Unf",484,883,"GasA","Gd","Y","SBrkr",988,517,0,1505,1,0,1,0,3,1,4,8,"Typ",0,"Detchd",1,240,"TA","N",7,2008,145000
85,"RL",7301,"Reg","Lvl","Edwards","Norm","Norm","1Fam","SFoyer",7,5,2003,2003,"Gable","CompShg","HdBoard","HdBoard","BrkFace",3,"TA","Slab",3.26141953619115,NA,NA,NA,0,0,"GasA","Ex","Y","SBrkr",495,1427,0,1922,0,0,3,0,4,1,3,7,"Typ",1,"BuiltIn",2,672,"TA","Y",7,2009,198500
160,"RM",1680,"Reg","Lvl","BrDale","Norm","Norm","Twnhs","2Story",6,8,1972,2007,"Gable","CompShg","HdBoard","HdBoard","BrkFace",4,"TA","CBlock",4,"TA","ALQ","Unf",321,483,"GasA","Gd","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,3,5,"Typ",0,"Detchd",1,264,"TA","Y",5,2009,118000
60,"RL",18800,"IR1","Lvl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1976,1976,"Gable","CompShg","HdBoard","HdBoard","BrkFace",4,"TA","PConc",3,"TA","GLQ","Unf",84,796,"GasA","TA","Y","SBrkr",790,784,0,1574,1,0,2,1,3,1,4,6,"Typ",1,"Attchd",2,566,"TA","Y",7,2006,190000
70,"RM",10690,"Reg","Lvl","IDOTRR","Norm","Norm","1Fam","2Story",5,7,1920,1997,"Hip","CompShg","VinylSd","VinylSd","None",4,"Gd","CBlock",4,"Fa","Rec","Unf",216,672,"GasA","Gd","Y","FuseA",672,672,0,1344,0,0,1,0,3,1,4,6,"Typ",0,"Detchd",1,468,"TA","Y",7,2009,147000
20,"RL",9500,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",6,5,1963,1963,"Gable","CompShg","Plywood","Plywood","BrkFace",4,"TA","CBlock",3,"TA","BLQ","Unf",785,1394,"GasA","Gd","Y","SBrkr",1394,0,0,1394,1,0,1,1,3,1,4,6,"Typ",2,"Attchd",2,514,"TA","Y",7,2009,159000
80,"RL",9150,"IR1","Lvl","NAmes","Norm","Norm","1Fam","SLvl",6,5,1962,1962,"Gable","Tar&Grv","Plywood","Plywood","BrkFace",4,"TA","CBlock",3,"TA","GLQ","Unf",728,1099,"GasA","Gd","Y","SBrkr",1431,0,0,1431,0,1,1,0,3,1,4,6,"Typ",1,"Basment",1,296,"TA","Y",12,2008,165000
20,"RL",7800,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","HdBoard","HdBoard","BrkFace",4,"TA","PConc",4,"TA","LwQ","Unf",728,1268,"GasA","Gd","Y","SBrkr",1268,0,0,1268,0,0,1,0,2,1,4,7,"Typ",1,"Attchd",1,244,"TA","Y",3,2010,132000
20,"RL",9830,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,7,1959,2006,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"Gd","CBlock",4,"TA","ALQ","Rec",733,1063,"GasA","Ex","Y","SBrkr",1287,0,0,1287,1,0,1,0,3,1,3,7,"Typ",1,"Detchd",2,576,"TA","Y",3,2010,162000
60,"RL",8121,"IR1","Lvl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","PConc",3,"TA","Unf","Unf",953,953,"GasA","Ex","Y","SBrkr",953,711,0,1664,0,0,2,1,3,1,4,7,"Typ",1,"Attchd",2,460,"TA","Y",1,2006,172400
50,"RL",17120,"Reg","Lvl","ClearCr","Feedr","Norm","1Fam","1.5Fin",4,4,1959,1959,"Gable","CompShg","WdShing","Plywood","None",4,"TA","CBlock",3.26141953619115,NA,NA,NA,0,0,"GasA","TA","Y","SBrkr",1120,468,0,1588,0,0,2,0,4,1,4,7,"Min2",1,"Detchd",2,680,"TA","N",7,2008,134432
120,"RL",7175,"Reg","Lvl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1984,1984,"Gable","CompShg","Plywood","Plywood","None",4,"TA","CBlock",3,"TA","ALQ","LwQ",0,744,"GasA","TA","Y","SBrkr",752,0,0,752,1,0,1,0,2,1,4,4,"Typ",0,"Attchd",1,264,"TA","Y",2,2010,125000
20,"RL",10634,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,6,1953,1953,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","PConc",4,"TA","BLQ","LwQ",0,608,"GasA","TA","Y","SBrkr",1319,0,0,1319,1,0,1,0,3,1,4,5,"Min2",0,"Attchd",1,270,"TA","Y",11,2009,123000
60,"RL",8200,"Reg","Lvl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","Unf","Unf",847,847,"GasA","Ex","Y","SBrkr",847,1081,0,1928,0,0,2,1,4,1,3,8,"Typ",1,"BuiltIn",2,434,"TA","Y",7,2007,219500
30,"RL",10020,"IR1","Low","Edwards","Norm","Norm","1Fam","1Story",1,1,1922,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",2,"Fa","BrkTil",2,"Po","BLQ","Unf",333,683,"GasA","Gd","N","FuseA",904,0,0,904,1,0,0,1,1,1,2,4,"Maj1",0,NA,0,0,NA,"Y",3,2009,61000
85,"RL",8846,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","SFoyer",5,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","GLQ","Unf",572,870,"GasA","Ex","Y","SBrkr",914,0,0,914,0,0,1,0,2,1,4,5,"Typ",0,"Detchd",2,576,"TA","Y",7,2006,148000
60,"FV",11143,"IR1","Lvl","Somerst","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","CemntBd","CmentBd","None",3,"TA","PConc",3,"TA","Unf","Unf",1580,1580,"GasA","Ex","Y","SBrkr",1580,886,0,2466,0,0,3,0,4,1,3,8,"Typ",1,"Attchd",2,610,"TA","Y",12,2007,340000
20,"RL",11394,"Reg","Lvl","StoneBr","Norm","Norm","1Fam","1Story",9,2,2010,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",1,"TA","GLQ","Unf",411,1856,"GasA","Ex","Y","SBrkr",1856,0,0,1856,1,0,1,1,1,1,1,8,"Typ",1,"Attchd",3,834,"TA","Y",6,2010,394432
60,"RL",8123,"IR1","Lvl","Gilbert","RRAn","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",4,"TA","PConc",3,"TA","Unf","Unf",982,982,"GasA","Ex","Y","SBrkr",1007,793,0,1800,0,0,2,1,3,1,4,7,"Typ",1,"Attchd",2,463,"TA","Y",6,2009,179000
50,"RL",5000,"Reg","Lvl","SWISU","Norm","Norm","1Fam","1.5Fin",5,6,1924,1950,"Gable","CompShg","BrkFace","Wd Sdng","None",4,"TA","BrkTil",4,"TA","LwQ","Unf",808,1026,"GasA","TA","Y","SBrkr",1026,665,0,1691,0,0,2,0,3,1,3,6,"Typ",1,"Detchd",1,308,"TA","Y",5,2010,127000
20,"FV",7200,"Reg","Lvl","Somerst","Norm","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"Gd","Unf","Unf",1293,1293,"GasA","Ex","Y","SBrkr",1301,0,0,1301,1,0,2,0,2,1,3,5,"Typ",1,"Attchd",2,572,"TA","Y",8,2006,187750
60,"RL",9245,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","Unf","Unf",939,939,"GasA","Ex","Y","SBrkr",939,858,0,1797,0,0,2,1,3,1,3,8,"Typ",0,"Attchd",2,639,"TA","Y",4,2007,213500
45,"RH",9000,"Reg","Lvl","SawyerW","Norm","Norm","1Fam","1.5Unf",6,3,1928,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","BrkTil",2,"Fa","Unf","Unf",784,784,"GasA","TA","N","FuseA",784,0,0,784,0,0,1,0,2,1,4,5,"Typ",0,"Detchd",2,360,"Fa","N",10,2009,76000
60,"RL",53107,"IR2","Low","ClearCr","Feedr","Norm","1Fam","2Story",6,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",3,"TA","PConc",3,"TA","GLQ","Unf",595,1580,"GasA","Ex","Y","SBrkr",1079,874,0,1953,1,0,2,1,3,1,3,9,"Typ",2,"Attchd",2,501,"TA","Y",6,2007,240000
120,"RL",3182,"Reg","Lvl","Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","GLQ","Unf",1232,1256,"GasA","Ex","Y","SBrkr",1269,0,0,1269,0,0,2,0,2,1,3,6,"Typ",1,"Attchd",2,430,"TA","Y",4,2010,192000
50,"RL",8410,"Reg","Lvl","Edwards","Feedr","Norm","1Fam","1.5Fin",5,3,1910,1996,"Gambrel","CompShg","Wd Sdng","VinylSd","None",4,"Fa","PConc",4,"TA","Unf","Unf",658,658,"GasA","TA","Y","SBrkr",658,526,0,1184,0,0,1,0,5,1,4,8,"Typ",0,NA,0,0,NA,"N",5,2006,81000
80,"RL",7200,"Reg","Lvl","Edwards","Norm","Norm","1Fam","SLvl",6,6,1976,1976,"Hip","CompShg","MetalSd","MetalSd","BrkFace",4,"TA","CBlock",4,"TA","ALQ","Unf",410,1041,"GasA","Ex","Y","SBrkr",1125,0,0,1125,1,0,1,0,3,1,4,6,"Typ",1,"Detchd",1,352,"TA","Y",10,2009,125000
20,"RL",9382,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1999,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","Unf","Unf",1468,1468,"GasA","Ex","Y","SBrkr",1479,0,0,1479,0,0,2,0,3,1,3,6,"Typ",0,"Attchd",2,577,"TA","Y",7,2008,191000
60,"RL",12474,"Reg","Lvl","NridgHt","Norm","Norm","1Fam","2Story",10,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",1,"TA","PConc",1,"TA","GLQ","Unf",402,1682,"GasA","Ex","Y","SBrkr",1742,590,0,2332,1,0,2,1,3,1,1,9,"Typ",1,"BuiltIn",3,846,"TA","Y",8,2008,426000
50,"RL",8405,"Reg","Lvl","Edwards","Norm","Norm","1Fam","1.5Fin",5,8,1900,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","BrkTil",4,"Gd","Rec","BLQ",229,861,"GasA","Ex","Y","SBrkr",961,406,0,1367,1,0,1,0,4,1,4,7,"Typ",0,"Detchd",1,384,"TA","Y",4,2008,119000
60,"RL",12209,"IR1","Lvl","Mitchel","Norm","Norm","1Fam","2Story",6,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","PConc",1,"TA","ALQ","Unf",114,804,"GasA","Ex","Y","SBrkr",804,1157,0,1961,1,0,2,1,3,1,3,7,"Typ",1,"BuiltIn",2,560,"TA","Y",6,2009,215000
20,"RL",8339,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,7,1959,1959,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","Slab",3.26141953619115,NA,NA,NA,0,0,"GasA","TA","Y","SBrkr",882,0,0,882,0,0,1,0,3,1,4,5,"Typ",0,"Attchd",1,294,"TA","Y",7,2007,106500
30,"RL",7446,"Reg","Lvl","BrkSide","Feedr","Norm","1Fam","1Story",4,5,1941,1950,"Gable","CompShg","WdShing","Wd Shng","None",4,"TA","CBlock",4,"TA","Rec","Unf",522,788,"GasA","TA","Y","FuseA",788,0,0,788,0,0,1,0,2,1,4,4,"Typ",2,NA,0,0,NA,"Y",4,2006,100000
50,"RL",10134,"Reg","Lvl","OldTown","Norm","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","CBlock",4,"TA","Unf","Unf",735,735,"GasA","Gd","Y","FuseA",735,299,0,1034,0,0,1,0,2,1,4,5,"Typ",0,"Detchd",1,240,"TA","Y",7,2007,109000
20,"RL",9571,"Reg","Lvl","Edwards","Norm","Norm","1Fam","1Story",5,6,1956,1956,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","CBlock",4,"TA","BLQ","Unf",405,1144,"GasA","TA","Y","SBrkr",1144,0,0,1144,1,0,1,0,3,1,4,6,"Typ",0,"Attchd",1,596,"TA","Y",6,2010,129000
20,"RL",7200,"Reg","Low","CollgCr","Norm","Norm","1Fam","1Story",5,5,1972,1972,"Hip","CompShg","MetalSd","MetalSd","None",4,"TA","CBlock",4,"TA","Rec","Unf",117,894,"GasA","TA","Y","SBrkr",894,0,0,894,0,0,1,0,2,1,4,6,"Typ",0,"Detchd",2,600,"TA","Y",9,2009,123000
60,"RL",7590,"Reg","Lvl","NAmes","PosN","Norm","1Fam","2Story",5,5,1962,1962,"Gable","CompShg","VinylSd","VinylSd","BrkFace",4,"TA","CBlock",4,"TA","ALQ","Unf",324,864,"GasA","TA","Y","SBrkr",876,936,0,1812,0,0,2,0,4,1,4,8,"Typ",1,"Attchd",1,264,"TA","Y",7,2007,169500
30,"RM",8967,"Reg","Lvl","IDOTRR","Norm","Norm","1Fam","1Story",5,2,1920,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"Fa","BrkTil",2,"Po","Unf","Unf",961,961,"GasA","Gd","Y","Mix",1077,0,0,1077,0,0,1,0,2,1,4,6,"Maj2",0,"Detchd",1,338,"Po","N",11,2007,67000
60,"FV",8125,"Reg","Lvl","Somerst","Norm","Norm","1Fam","2Story",7,5,2006,2007,"Gable","CompShg","CemntBd","CmentBd","Stone",3,"TA","PConc",3,"TA","GLQ","Unf",280,1092,"GasA","Ex","Y","SBrkr",1112,438,0,1550,1,0,2,0,2,1,3,7,"Typ",0,"Attchd",2,438,"TA","Y",10,2009,241000
120,"RL",14963,"IR2","Lvl","Veenker","Norm","Norm","TwnhsE","1Story",8,5,1996,1996,"Gable","CompShg","BrkFace","BrkFace","None",3,"TA","PConc",3,"TA","GLQ","Unf",474,1260,"GasA","Ex","Y","SBrkr",1288,0,0,1288,1,0,1,1,1,1,1,4,"Typ",2,"Attchd",2,500,"TA","Y",12,2008,245500
20,"RL",8767,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","GLQ","Unf",1286,1310,"GasA","Ex","Y","SBrkr",1310,0,0,1310,0,0,2,0,3,1,3,6,"Typ",1,"Attchd",2,400,"TA","Y",7,2006,164990
30,"RL",10200,"Reg","Lvl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1940,1997,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","PConc",4,"TA","Unf","Unf",672,672,"GasA","Ex","Y","SBrkr",672,0,0,672,0,0,1,0,2,1,4,4,"Typ",0,"Detchd",1,240,"TA","N",8,2008,108000
60,"RL",12090,"Reg","Lvl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Hip","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","Unf","Unf",1141,1141,"GasA","Gd","Y","SBrkr",1165,1098,0,2263,0,0,2,1,4,1,3,10,"Typ",1,"BuiltIn",2,420,"TA","Y",7,2006,258000
60,"RL",10364,"IR1","Lvl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1996,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","PConc",3,"TA","Unf","Unf",806,806,"GasA","Gd","Y","SBrkr",806,766,0,1572,0,0,2,1,3,1,4,7,"Typ",1,"BuiltIn",2,373,"TA","Y",5,2007,168000
20,"RL",9991,"IR1","Lvl","Sawyer","Feedr","Norm","1Fam","1Story",4,4,1976,1993,"Gable","CompShg","Plywood","Plywood","None",4,"TA","CBlock",4,"TA","BLQ","Unf",165,1281,"GasA","Ex","Y","SBrkr",1620,0,0,1620,1,0,2,0,3,1,4,8,"Min1",1,"Attchd",2,490,"TA","Y",6,2009,150000
50,"RL",10480,"Reg","Lvl","SWISU","Norm","Norm","1Fam","1.5Fin",6,5,1936,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","BrkTil",4,"TA","Unf","Unf",1064,1064,"GasA","Ex","Y","FuseA",1166,0,473,1639,0,0,1,0,3,1,4,6,"Maj2",0,"Detchd",1,240,"TA","Y",3,2008,115000
70,"RL",15576,"Reg","Lvl","Crawfor","Norm","Norm","1Fam","2Story",6,7,1915,1976,"Gable","CompShg","Wd Sdng","Plywood","None",4,"TA","BrkTil",3,"TA","Unf","Unf",840,840,"GasA","Ex","Y","SBrkr",840,840,0,1680,0,0,2,0,4,1,4,8,"Typ",0,"Attchd",1,308,"TA","Y",3,2008,177000
60,"RL",14154,"Reg","Lvl","NridgHt","Norm","Norm","1Fam","2Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",1,"Gd","Unf","Unf",1063,1063,"GasA","Ex","Y","SBrkr",1071,1101,0,2172,0,0,2,1,3,1,3,9,"Typ",1,"Attchd",3,947,"TA","Y",8,2007,280000
60,"FV",10800,"Reg","Lvl","Somerst","Norm","Norm","1Fam","2Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",1,"TA","GLQ","Unf",245,1034,"GasA","Ex","Y","SBrkr",1050,1028,0,2078,1,0,2,1,3,1,1,8,"Typ",1,"Attchd",3,836,"TA","Y",4,2008,339750
20,"RL",9571,"Reg","Lvl","Edwards","Norm","Norm","1Fam","1Story",5,3,1958,1958,"Gable","CompShg","BrkComm","Brk Cmn","None",4,"Fa","CBlock",4,"Fa","Unf","Unf",1276,1276,"GasA","TA","Y","FuseA",1276,0,0,1276,0,0,1,0,3,1,4,5,"Mod",0,"Attchd",1,350,"TA","Y",6,2009,60000
190,"RL",34650,"Reg","Bnk","Gilbert","Norm","Norm","2fmCon","1Story",5,5,1955,1955,"Hip","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","CBlock",4,"TA","Rec","Unf",0,1056,"GasA","TA","N","SBrkr",1056,0,0,1056,1,0,1,0,3,1,4,5,"Typ",0,"Attchd",2,572,"TA","Y",1,2006,145000
20,"FV",4403,"IR2","Lvl","Somerst","Norm","Norm","1Fam","1Story",7,5,2009,2009,"Gable","CompShg","MetalSd","MetalSd","Stone",1,"TA","PConc",1,"TA","GLQ","Unf",892,1470,"GasA","Ex","Y","SBrkr",1478,0,0,1478,1,0,2,1,2,1,3,7,"Typ",1,"Attchd",2,484,"TA","Y",6,2010,222000
30,"RM",8960,"Reg","Lvl","OldTown","Artery","Norm","1Fam","1Story",5,6,1927,1950,"Gable","CompShg","WdShing","Wd Shng","None",4,"TA","CBlock",4,"TA","Unf","Unf",1008,1008,"GasA","Gd","Y","FuseA",1028,0,0,1028,0,0,1,0,2,1,4,5,"Typ",1,"Detchd",2,360,"TA","Y",3,2010,115000
60,"RL",11228,"IR2","Lvl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1993,1993,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","BLQ","GLQ",499,1080,"GasA","Ex","Y","SBrkr",1080,1017,0,2097,0,1,2,1,3,1,3,9,"Typ",1,"Attchd",3,678,"TA","Y",12,2008,228000
20,"RL",8899,"IR1","Lvl","Gilbert","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","GLQ","Unf",1316,1340,"GasA","Ex","Y","SBrkr",1340,0,0,1340,0,0,2,0,3,1,3,6,"Typ",0,"Attchd",2,396,"TA","Y",8,2007,181134
60,"RL",7844,"Reg","Lvl","Sawyer","Norm","Norm","1Fam","2Story",6,7,1978,1978,"Hip","CompShg","HdBoard","HdBoard","BrkFace",4,"TA","CBlock",4,"TA","ALQ","Unf",463,672,"GasA","TA","Y","SBrkr",672,728,0,1400,0,0,1,1,3,1,4,6,"Typ",1,"Attchd",2,440,"TA","Y",3,2006,149500
70,"RL",22420,"IR1","Lvl","Crawfor","Feedr","Norm","1Fam","2Story",6,6,1918,1950,"Hip","CompShg","Wd Sdng","Stucco","None",4,"TA","BrkTil",3,"TA","BLQ","Unf",242,1370,"GasW","TA","N","FuseA",1370,1254,0,2624,1,0,2,1,4,1,4,10,"Typ",1,"Detchd",3,864,"TA","N",11,2007,239000
50,"RL",8160,"Reg","Lvl","Edwards","Norm","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","BrkTil",4,"TA","ALQ","Unf",444,756,"GasA","Fa","N","FuseF",756,378,0,1134,1,0,1,1,3,1,4,7,"Typ",0,"Detchd",1,240,"TA","P",4,2007,126000
20,"RL",8450,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,6,1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","CBlock",4,"TA","BLQ","Unf",281,1056,"GasA","Ex","Y","SBrkr",1056,0,0,1056,1,0,1,0,3,1,4,6,"Typ",1,"Attchd",1,304,"TA","Y",7,2010,142000
90,"RM",7060,"Reg","Lvl","Mitchel","Norm","Norm","Duplex","SFoyer",7,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",4,"Gd","PConc",3,"Gd","GLQ","Unf",35,1344,"GasA","Ex","Y","SBrkr",1344,0,0,1344,2,0,2,0,2,2,4,8,"Typ",0,"Attchd",4,784,"TA","Y",11,2008,206300
20,"RL",16635,"IR1","Lvl","NWAmes","Norm","Norm","1Fam","1Story",6,7,1977,2000,"Gable","CompShg","CemntBd","CmentBd","Stone",3,"TA","CBlock",3,"TA","ALQ","Unf",356,1602,"GasA","Gd","Y","SBrkr",1602,0,0,1602,0,1,2,0,3,1,3,8,"Typ",1,"Attchd",2,529,"TA","Y",6,2009,215000
